SR     obs  bkg   bkg_errp  bkg_errm  S95_obs  S95_exp  
2SFa   56   47    12        12        32       27       
2SFb   28   25    5         5         17       15       
2SFc   19   25    4         4         9        12       
2SFd   13   14    7         7         12       13       
2SFe   10   5.2   1.4       1.4       11.8     7.3      
2SFf   6    1.9   1.2       1.2       10.2     6.5      
2SFg   6    3.8   1.9       1.9       8.5      7.0      
2SFh   0    3.1   1.0       1.0       2.9      4.9      
2SFi   1    1.9   0.9       0.9       3.5      4.4      
2SFj   3    1.6   0.5       0.5       5.8      4.2      
2SFk   2    1.5   0.6       0.6       4.4      4.1      
2SFl   2    1.8   0.8       0.8       4.6      4.6      
2SFm   7    2.6   0.9       0.9       10.3     5.9      
2SFL   153  133   22        22        62       48       
2SFT   9    9.8   2.9       2.9       8.6      8.7      
2int   2    4.1   2.6       1.8       4.2      5.5      
2high  0    1.6   1.6       1.1       3.0      3.7      
2low   11   4.2   3.4       1.6       14.7     10.9     
3a0J   21   21.7  2.9       2.9       11.3     11.6     
3b0J   1    2.7   0.5       0.5       3.5      4.7      
3c0J   2    1.6   0.3       0.3       4.5      3.9      
3a1J   1    2.2   0.5       0.5       3.6      4.5      
3b1J   3    1.8   0.3       0.3       5.4      4.1      
3c1J   4    1.3   0.3       0.3       7.1      3.8      
3Sa    4    2.2   0.8       0.8       6.8      5.2      
3Sb    3    2.8   0.4       0.4       5.1      5.0      
3Sc    9    5.4   0.9       0.9       10.2     6.5      
3Sd    0    1.4   0.4       0.4       3.0      4.0      
3Se    0    1.1   0.2       0.2       3.1      3.8      
