SR        obs    bkg    bkg_err_stat  bkg_err_sys  S95_obs  S95_exp  
etSR0     19532  19000  200           3300         5772     5512     
etSR300   5858   5800   100           1100         1825     1799     
etSR600   480    540    20            160          196      216      
etSR1200  24     34     2             17           18       20       
etSR2000  5      3.1    0.4           2.1          8.2      6.9      
etSR3000  0      0.31   0.15          0.23         2.97     2.84     
mtSR0     10525  10300  200           1700         2978     2876     
mtSR300   3378   3380   60            550          932      921      
mtSR600   255    282    10            61           83       95       
mtSR1200  12     13.7   1.1           5.0          10.0     11.3     
mtSR2000  2      1.65   0.46          1.30         5.19     5.03     
mtSR3000  0      0.027  0.007         0.033        2.965    2.918    
