SR      obs  bkg   bkg_err  S95_obs  S95_exp  
mPT100  311  300   18       59       49       
mPT125  155  155   7        29       29       
mPT150  87   90.8  4.6      19.6     22.2     
mPT175  50   54.7  3.1      13.9     16.6     
mPT200  56   51.3  2.9      20.2     16.7     
mPT250  15   19.7  1.4      7.3      10.3     
mPT300  11   9.64  0.8      8.82     7.55     
mPT350  6    4.73  0.47     7.03     6.08     
mPT400  6    3.44  0.39     7.99     5.54     
mPT500  1    1.63  0.24     3.76     3.85     
