SR        obs  bkg   bkg_err  S95_obs  S95_exp  
EW125ll1  2    3.5   1.0      4.1      5.2      
EW125ll2  15   12.0  2.3      12.0     9.5      
EW125ll3  19   17.0  2.4      12.2     10.5     
EW125ll4  18   11.0  2.0      16.1     9.8      
EW200ll1  1    1.6   0.7      3.6      4.1      
EW200ll2  0    3.5   0.9      2.9      5.1      
EW200ll3  3    2.0   0.7      5.5      4.8      
EW200ll4  1    0.51  0.5      3.66     3.37     
EW250ll1  2    1.4   0.7      4.5      4.2      
EW250ll2  1    1.5   0.6      3.7      4.0      
EW250ll3  2    1.5   0.8      4.6      4.4      
EW250ll4  0    1.2   0.6      3.0      3.4      
tt125ll1  16   14.0  2.3      11.4     10.0     
tt125ll2  51   37.0  6.8      30.9     20.1     
tt125ll3  67   54.0  6.5      31.5     21.0     
tt200ll1  23   23.0  3.5      12.6     12.5     
tt200ll2  40   41.0  5.6      16.5     17.2     
tt200ll3  44   45.0  7.0      18.2     18.7     
tt300ll1  4    4.7   1.3      5.7      6.1      
tt300ll2  11   10.0  1.9      9.3      8.5      
tt300ll3  9    10.0  2.5      7.9      8.5      
