SR    obs  bkg  bkg_err  S95_obs  S95_exp  
SR01  166  175  20       37       43       
SR02  23   27   4        11       13       
SR03  6    5    1        7        6        
SR04  1    2.5  0.8      3.5      4.7      
SR05  56   50   8        26       22       
SR06  13   12   3        10       10       
SR07  1    1.2  0.4      3.5      3.9      
SR08  13   12   2        10       9        
SR09  14   11   3        12       10       
SR10  2    2.6  0.9      4.3      5.0      
SR11  1    1.2  0.5      3.6      3.8      
SR12  41   39   6        19       17       
SR13  13   10   3        12       10       
SR14  11   6    2        13       8        
SR15  260  286  44       63       76       
SR16  51   62   14       20       25       
SR17  10   20   5        7        11       
SR18  9    16   4        6        10       
SR19  297  321  42       64       77       
SR20  38   50   14       17       23       
SR21  2    5    2        4        6        
SR22  2    1.1  0.5      4.8      4.0      
SR23  18   25   6        10       13       
SR24  13   12   5        12       12       
SR25  5    5    2        7        7        
SR26  2    4    2        4        6        
SR27  250  279  34       49       63       
SR28  81   87   13       26       30       
SR29  20   26   6        10       14       
SR30  10   8    2        10       8        
SR31  5    6    1        6        7        
SR32  49   54   8        17       20       
SR33  11   11   3        10       10       
SR34  2    2.2  0.9      4.4      4.8      
SR35  2    0.5  0.4      5.4      3.7      
SR36  5    6    2        6        7        
SR37  2    3.0  1.3      4.2      5.2      
SR38  0    1.1  0.4      3.1      3.5      
SR39  3    0.9  0.4      6.5      3.9      
SR40  292  310  40       65       77       
SR41  69   81   18       26       31       
SR42  23   25   6        13       15       
SR43  8    13   3        6        9        
SR44  45   45   6        19       19       
SR45  12   14   3        8        10       
SR46  5    4    2        7        7        
SR47  1    1.9  0.8      3.6      4.3      
SR48  2    1.8  0.8      4.6      4.6      
SR49  1    1.0  0.5      3.4      3.4      
SR50  12   9    3        12       10       
SR51  2    4    2        4        6        
SR52  2    2.0  0.7      4.6      4.6      
SR53  2    1.5  0.7      4.5      4.3      
SR54  1    0.6  0.3      3.8      3.2      
SR55  1    1.1  0.5      3.5      3.8      
SR56  170  173  21       44       46       
SR57  28   44   7        9        16       
SR58  12   23   6        8        12       
