SR      obs     bkg     bkg_err  S95_obs  S95_exp  
ee120   245101  252000  13000    19149    24173    
ee400   4297    4430    230      370      431      
ee600   943     986     64       109      131      
ee900   182     187     14       35       38       
ee1300  33      34.3    3.4      13.7     14.3     
ee1800  9       7.5     1.1      8.4      7.1      
mm120   244277  260000  14000    16361    23674    
mm400   5912    6290    350      438      643      
mm600   1311    1430    80       99       157      
mm900   244     268     15       29       41       
mm1300  41      50      3        11       16       
mm1800  8       12.1    1.5      6.0      8.6      
