SR       obs   bkg    bkg_err  S95_obs  S95_exp  
c00SR1   43    44.1   7.5      18.8     19.4     
c20SR1   40    28.5   4.1      24.8     15.2     
c40SR1   39    33.5   4.4      19.4     15.6     
c60SR1   33    33.5   4.5      14.5     15.0     
c80SR1   17    18.6   2.6      10.0     11.1     
c100SR1  6     7.7    1.6      6.2      7.3      
c120SR1  12    12.5   2.5      8.9      9.5      
c00SR2   8     10.9   1.9      6.4      8.4      
c20SR2   12    7.8    1.8      12.0     8.2      
c40SR2   11    7.3    1.4      10.9     7.6      
c60SR2   10    7.9    1.3      9.3      7.5      
c80SR2   3     1.9    0.52     5.5      4.5      
c100SR2  2     1.28   0.58     4.7      4.02     
c120SR2  7     7.1    1.4      7.2      7.1      
c00SR3   110   112.8  6.3      23.8     25.1     
c20SR3   35    27.9   2.2      19.2     12.8     
c40SR3   26    24.2   1.8      13.3     11.5     
c60SR3   26    22.5   1.8      14.4     11.1     
c80SR3   2     5.2    1        3.7      5.9      
c100SR3  1     1.36   0.36     3.6      3.99     
c120SR3  14    10.6   1.2      11.3     8.2      
t00SR1   1367  1350   33       110      97       
t20SR1   539   526    13       61       53       
t40SR1   648   656    15       54       58       
t60SR1   692   670    17       78       62       
t80SR1   301   289.2  7.6      46.3     38.5     
t100SR1  63    57.9   4.2      22.1     18.2     
t120SR1  59    61.8   5.8      18.0     19.3     
t00SR2   501   487    16       64       54       
t20SR2   135   140.7  5.5      22.0     27.2     
t40SR2   177   161.9  5.9      42.3     29.5     
t60SR2   128   134.5  6.2      21.9     26.0     
t80SR2   36    39.6   2.7      11.8     14.8     
t100SR2  9     8.1    1.1      8.4      7.4      
t120SR2  32    30.6   3        14.7     13.4     
