SR   obs  bkg     bkg_err_sys  bkg_err_stat  S95_obs  S95_exp  
TBB  245  228.23  22.5         22.6          76.86    66.08    
TBO  459  472.86  42.4         35            94.58    105.32   
TBE  235  235.72  16.6         25.5          60.3     61.84    
TOO  236  227.47  11.5         22.1          61.26    55.74    
TOE  228  238.25  26.5         25            61.83    66.04    
TEE  57   71.57   11.4         11.8          21.31    27.7     
LBB  127  151.78  17.2         18.1          32.52    43.29    
LBO  291  307.52  18.9         26.6          55.54    64.96    
LBE  178  148.9   19.1         18.7          75.6     57.7     
LOO  143  144.9   19.1         16.9          49.6     51.0     
LOE  159  160.26  16.1         21.5          50.79    51.31    
LEE  39   41.63   5.6          11            21.17    22.89    
