SR   obs   bkg      bkg_err_sys  bkg_err_stat  S95_obs  S95_exp  
TBB  1311  1216.87  40.8         55.9          219.92   151.34   
TBO  2474  2437.75  102.2        80.5          295.22   264.5    
TBE  1212  1209.33  63.8         57.5          172.26   173.85   
TOO  1108  1117.6   39           54.9          135.6    138.9    
TOE  1201  1165.95  151.1        60.2          312.41   288.11   
TEE  323   351.65   34.2         32            68.32    83.33    
LBB  697   717.13   40.2         42.8          107.57   117.98   
LBO  1432  1438.81  85.5         54.1          196.48   198.57   
LBE  782   726.8    74.9         45.1          203.2    169.4    
LOO  686   728.36   33.2         44.9          87.3     112.94   
LOE  832   792.56   78.2         49.5          198.41   176.8    
LEE  209   218.68   18.9         21.7          50.99    55.88    
