# ATLAS
# atlas_1308_1841
# 0 lepton + large jets multi + missingET
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.29605e-05

Cut                            Sum_W        Sum_W2       Acc  N_Norm       
CR00_all                       2.61412e-06  6.83362e-15  1    5.29605e-05  
CR01_Trigger                   0            0            0    0            
CR02_cleaning                  0            0            0    0            
CR03_LeptonVeto                0            0            0    0            
CR04_furtherCleaning           0            0            0    0            
CR05_flavour_8j50_a.base       0            0            0    0            
CR05_flavour_8j50_b.R          0            0            0    0            
CR05_flavour_8j50_c.0bjet      0            0            0    0            
CR05_flavour_8j50_d.1bjet      0            0            0    0            
CR05_flavour_8j50_e.GE2bjet    0            0            0    0            
CR06_flavour_9j50_a.base       0            0            0    0            
CR06_flavour_9j50_b.R          0            0            0    0            
CR06_flavour_9j50_c.0bjet      0            0            0    0            
CR06_flavour_9j50_d.1bjet      0            0            0    0            
CR06_flavour_9j50_e.GE2bjet    0            0            0    0            
CR07_flavour_GE10j50_a.base    0            0            0    0            
CR07_flavour_GE10j50_b.R       0            0            0    0            
CR08_flavour_7j80_a.base       0            0            0    0            
CR08_flavour_7j80_b.R          0            0            0    0            
CR08_flavour_7j80_c.0bjet      0            0            0    0            
CR08_flavour_7j80_d.1bjet      0            0            0    0            
CR08_flavour_7j80_e.GE2bjet    0            0            0    0            
CR09_flavour_GE8j80_a.base     0            0            0    0            
CR09_flavour_GE8j80_b.R        0            0            0    0            
CR09_flavour_GE8j80_c.0bjet    0            0            0    0            
CR09_flavour_GE8j80_d.1bjet    0            0            0    0            
CR09_flavour_GE8j80_e.GE2bjet  0            0            0    0            
CR10_m_GE8j50_a.base           0            0            0    0            
CR10_m_GE8j50_b.R              0            0            0    0            
CR10_m_GE8j50_c.M340           0            0            0    0            
CR10_m_GE8j50_d.M420           0            0            0    0            
CR11_m_GE9j50_a.base           0            0            0    0            
CR11_m_GE9j50_b.R              0            0            0    0            
CR11_m_GE9j50_c.M340           0            0            0    0            
CR11_m_GE9j50_d.M420           0            0            0    0            
CR12_m_GE10j50_a.base          0            0            0    0            
CR12_m_GE10j50_b.R             0            0            0    0            
CR12_m_GE10j50_c.M340          0            0            0    0            
CR12_m_GE10j50_d.M420          0            0            0    0            
