# ATLAS
# ATLAS arXiv:1308.2631
#0 leptons + 2 b-jets + Etmiss [Sbottom/stop]
# Energy: 8 TeV
# Luminosity: 20.1 fb^-1
# UNVALIDATED!!!!!!!!!!!!!!!!!!!!!!!!!


Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.25438e-05

Cut             Sum_W        Sum_W2       Acc    N_Norm       
0               2.61412e-06  6.83362e-15  1      5.25438e-05  
1               0            0            0      0            
10              0            0            0      0            
11              0            0            0      0            
12              0            0            0      0            
13              0            0            0      0            
14              0            0            0      0            
15              0            0            0      0            
16              0            0            0      0            
2               0            0            0      0            
3               0            0            0      0            
4               0            0            0      0            
5               0            0            0      0            
6               0            0            0      0            
7               0            0            0      0            
8               0            0            0      0            
9               0            0            0      0            
a_NoCuts        2.61412e-06  6.83362e-15  1      5.25438e-05  
b_ETMiss_80     1.0561e-06   2.76078e-15  0.404  2.12277e-05  
c_PhotonVeto    1.0561e-06   2.76078e-15  0.404  2.12277e-05  
d_MuonVeto      7.84236e-09  2.05009e-17  0.003  1.57631e-07  
e_ElectronVeto  7.84236e-09  2.05009e-17  0.003  1.57631e-07  
