#ATLAS
#arXiv:1402.7029
#3 leptons and etmiss
#sqrt(s) = 8 Tev
#int(L) = 20.3 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.30666e-05

Cut                Sum_W        Sum_W2       Acc    N_Norm       
CR0_0All           2.61412e-06  6.83362e-15  1      5.30666e-05  
CR0_1Trigger       2.52785e-06  6.60811e-15  0.967  5.13154e-05  
CR0_2ThreeLeptons  2.0913e-08   5.4669e-17   0.008  4.24533e-07  
CR0_3Separated     2.0913e-08   5.4669e-17   0.008  4.24533e-07  
CR0_4EorMu         2.0913e-08   5.4669e-17   0.008  4.24533e-07  
CR_0_1NoTau        2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_0a_0sfos        2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_0a_17_1msfos    2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_0a_17_2bveto    2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_0a_17_3etmiss   2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_0a_17_4mt3      2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_0a_18_1msfos    2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_0a_18_2bveto    2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_0a_18_3etmiss   2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_0a_19_1msfos    2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_0a_19_2bveto    2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_0a_20_1msfos    2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_0a_20_2bveto    2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CR_1_0OneTau       1.82988e-08  4.78354e-17  0.007  3.71466e-07  
