#ATLAS
#arXiv:1407.0583
#1-lepton + (b-)jets + etmiss
#sqrt(s) = 8 TeV
#int(L) = 20.3 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.30666e-05

Cut                            Sum_W        Sum_W2       Acc    N_Norm       
a                              2.61412e-06  6.83362e-15  1      5.30666e-05  
bCa_low_El_00_softLep          0            0            0      0            
bCa_low_El_01_jetMult25        0            0            0      0            
bCa_low_El_02_jet180           0            0            0      0            
bCa_low_El_03_bTag             0            0            0      0            
bCa_low_El_04_softBTag         0            0            0      0            
bCa_low_El_05_mT               0            0            0      0            
bCa_low_El_06_missEff          0            0            0      0            
bCa_low_El_07_softLep          0            0            0      0            
bCa_low_Mu_00_softLep          0            0            0      0            
bCa_low_Mu_01_jetMult25        0            0            0      0            
bCa_low_Mu_02_jet180           0            0            0      0            
bCa_low_Mu_03_bTag             0            0            0      0            
bCa_low_Mu_04_softBTag         0            0            0      0            
bCa_low_Mu_05_mT               0            0            0      0            
bCa_low_Mu_06_missEff          0            0            0      0            
bCa_low_Mu_07_softLep          0            0            0      0            
bCa_med_El_00_softLep          0            0            0      0            
bCa_med_El_01_jetMult25        0            0            0      0            
bCa_med_El_02_jet180           0            0            0      0            
bCa_med_El_03_bTag             0            0            0      0            
bCa_med_El_04_softBTag         0            0            0      0            
bCa_med_El_05_mT               0            0            0      0            
bCa_med_El_06_missEff          0            0            0      0            
bCa_med_El_07_softLep          0            0            0      0            
bCa_med_Mu_00_softLep          5.22824e-09  1.36672e-17  0.002  1.06133e-07  
bCa_med_Mu_01_jetMult25        0            0            0      0            
bCa_med_Mu_02_jet180           0            0            0      0            
bCa_med_Mu_03_bTag             0            0            0      0            
bCa_med_Mu_04_softBTag         0            0            0      0            
bCa_med_Mu_05_mT               0            0            0      0            
bCa_med_Mu_06_missEff          0            0            0      0            
bCa_med_Mu_07_softLep          0            0            0      0            
bCb_high_El_00_softLep         0            0            0      0            
bCb_high_El_01_jet1_60         0            0            0      0            
bCb_high_El_02_jet2_60         0            0            0      0            
bCb_high_El_03_2bTag           0            0            0      0            
bCb_high_El_04_deltaPhi        0            0            0      0            
bCb_high_El_05_HT              0            0            0      0            
bCb_high_El_06_mbb             0            0            0      0            
bCb_high_Mu_00_softLep         0            0            0      0            
bCb_high_Mu_01_jet1_60         0            0            0      0            
bCb_high_Mu_02_jet2_60         0            0            0      0            
bCb_high_Mu_03_2bTag           0            0            0      0            
bCb_high_Mu_04_deltaPhi        0            0            0      0            
bCb_high_Mu_05_HT              0            0            0      0            
bCb_high_Mu_06_mbb             0            0            0      0            
bCb_med1_El_00_softLep         0            0            0      0            
bCb_med1_El_01_jet1_60         0            0            0      0            
bCb_med1_El_02_jet2_60         0            0            0      0            
bCb_med1_El_03_2bTag           0            0            0      0            
bCb_med1_El_04_deltaPhi        0            0            0      0            
bCb_med1_El_05_HT              0            0            0      0            
bCb_med1_El_06_mbb             0            0            0      0            
bCb_med1_Mu_00_softLep         0            0            0      0            
bCb_med1_Mu_01_jet1_60         0            0            0      0            
bCb_med1_Mu_02_jet2_60         0            0            0      0            
bCb_med1_Mu_03_2bTag           0            0            0      0            
bCb_med1_Mu_04_deltaPhi        0            0            0      0            
bCb_med1_Mu_05_HT              0            0            0      0            
bCb_med1_Mu_06_mbb             0            0            0      0            
bCb_med2_El_00_jet1            0            0            0      0            
bCb_med2_El_01_jet2            0            0            0      0            
bCb_med2_El_02_jet3            0            0            0      0            
bCb_med2_El_03_bTag            0            0            0      0            
bCb_med2_El_04_bJet1PT         0            0            0      0            
bCb_med2_El_05_bJet2PT         0            0            0      0            
bCb_med2_El_06_dPhiJet1        0            0            0      0            
bCb_med2_El_07_dPhiJet2        0            0            0      0            
bCb_med2_El_08_EtMiss          0            0            0      0            
bCb_med2_El_09_met/ht          0            0            0      0            
bCb_med2_El_10_mT              0            0            0      0            
bCb_med2_El_11_aMT2            0            0            0      0            
bCb_med2_El_12_trackIso        0            0            0      0            
bCb_med2_El_13_tauVeto         0            0            0      0            
bCb_med2_Mu_00_jet1            7.84236e-09  2.05009e-17  0.003  1.592e-07    
bCb_med2_Mu_01_jet2            5.22824e-09  1.36672e-17  0.002  1.06133e-07  
bCb_med2_Mu_02_jet3            5.22824e-09  1.36672e-17  0.002  1.06133e-07  
bCb_med2_Mu_03_bTag            0            0            0      0            
bCb_med2_Mu_04_bJet1PT         0            0            0      0            
bCb_med2_Mu_05_bJet2PT         0            0            0      0            
bCb_med2_Mu_06_dPhiJet1        0            0            0      0            
bCb_med2_Mu_07_dPhiJet2        0            0            0      0            
bCb_med2_Mu_08_EtMiss          0            0            0      0            
bCb_med2_Mu_09_met/ht          0            0            0      0            
bCb_med2_Mu_10_mT              0            0            0      0            
