#ATLAS
#arXiv:1407.0583
#1-lepton + (b-)jets + etmiss
#sqrt(s) = 8 TeV
#int(L) = 20.3 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.30666e-05

SR           Sum_W  Sum_W2  Acc  N_Norm  
bCa_low      0      0       0    0       
bCa_med      0      0       0    0       
bCb_high     0      0       0    0       
bCb_med1     0      0       0    0       
bCb_med2_a   0      0       0    0       
bCb_med2_b   0      0       0    0       
bCb_med2_c   0      0       0    0       
bCb_med2_d   0      0       0    0       
bCc_diag     0      0       0    0       
bCd_bulk_a   0      0       0    0       
bCd_bulk_b   0      0       0    0       
bCd_bulk_c   0      0       0    0       
bCd_bulk_d   0      0       0    0       
bCd_high1    0      0       0    0       
bCd_high2    0      0       0    0       
tN_boost     0      0       0    0       
tN_diag_a    0      0       0    0       
tN_diag_b    0      0       0    0       
tN_diag_c    0      0       0    0       
tN_diag_d    0      0       0    0       
tN_high      0      0       0    0       
tN_med       0      0       0    0       
tNbC_mix     0      0       0    0       
threeBody_a  0      0       0    0       
threeBody_b  0      0       0    0       
threeBody_c  0      0       0    0       
threeBody_d  0      0       0    0       
