# ATLAS
# ATLAS_1503_03290
# 2 leptons + jets + missingET
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.30666e-05

Cut                                     Sum_W        Sum_W2       Acc    N_Norm       
CR00_noCuts                             2.61412e-06  6.83362e-15  1      5.30666e-05  
CR01_leptonTriggerRequirement           0            0            0      0            
CR02_rejectEventsWithBadJets            0            0            0      0            
CR03_rejectEventsWithBadMuons           0            0            0      0            
CR04_primaryVertexGE4tracks             0            0            0      0            
CR05_vetoEventsWithCosmicMuons          0            0            0      0            
CR06_GE2leptons                         2.05208e-06  5.36439e-15  0.785  4.16573e-05  
CR07_fakeMissET                         0            0            0      0            
CRee08_leptonIsolationTriggerMatching   0            0            0      0            
CRee09_leptonFlavour                    0            0            0      0            
CRee10_promptLeptons                    0            0            0      0            
CRee11_oppositeChargeLeptons            0            0            0      0            
CRee12_GT1jet                           0            0            0      0            
CRee13_electronCrackVeto                0            0            0      0            
CRee14_mllGT15                          0            0            0      0            
CRee15_dPhi(leadingjet,missET)GT0.4     0            0            0      0            
CRee16_dPhi(subleadingjet,missET)GT0.4  0            0            0      0            
CRee17_mllIn(81,101)                    0            0            0      0            
CRee18_HTGT600                          0            0            0      0            
CRee19_missETGT225                      0            0            0      0            
CRmm08_leptonIsolationTriggerMatching   0            0            0      0            
CRmm09_leptonFlavour                    1.70702e-06  4.46236e-15  0.653  3.46525e-05  
CRmm10_promptLeptons                    1.69395e-06  4.42819e-15  0.648  3.43872e-05  
CRmm11_oppositeChargeLeptons            1.69395e-06  4.42819e-15  0.648  3.43872e-05  
CRmm12_GT1jet                           1.43777e-07  3.75849e-16  0.055  2.91866e-06  
CRmm13_electronCrackVeto                0            0            0      0            
CRmm14_mllGT15                          1.43777e-07  3.75849e-16  0.055  2.91866e-06  
CRmm15_dPhi(leadingjet,missET)GT0.4     1.43777e-07  3.75849e-16  0.055  2.91866e-06  
CRmm16_dPhi(subleadingjet,missET)GT0.4  1.25478e-07  3.28014e-16  0.048  2.5472e-06   
CRmm17_mllIn(81,101)                    6.5353e-08   1.70841e-16  0.025  1.32667e-06  
CRmm18_HTGT600                          2.61412e-09  6.83362e-18  0.001  5.30666e-08  
CRmm19_missETGT225                      2.61412e-09  6.83362e-18  0.001  5.30666e-08  
