# ATLAS
# ATLAS-CONF-2013-024
# 0 leptons + 6 (2 b-)jets + etmiss
# sqrt(s) = 8 TeV
# int(L) = 20.5 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.27856e-05

Cut  Sum_W        Sum_W2       Acc    N_Norm       
00   2.61412e-06  6.83362e-15  1      5.27856e-05  
01   1.05872e-06  2.76762e-15  0.405  2.13782e-05  
02   7.84236e-09  2.05009e-17  0.003  1.58357e-07  
03   7.84236e-09  2.05009e-17  0.003  1.58357e-07  
04   2.61412e-09  6.83362e-18  0.001  5.27856e-08  
05   0            0            0      0            
06   0            0            0      0            
07   0            0            0      0            
08   0            0            0      0            
09   0            0            0      0            
10   0            0            0      0            
11   0            0            0      0            
12   0            0            0      0            
13   0            0            0      0            
14   0            0            0      0            
15   0            0            0      0            
16   0            0            0      0            
