#ATLAS
#ATLAS-CONF-2013-049
#2 leptons + etmiss
#sqrt(s) = 8 TeV
#int(L) = 20.3 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.30666e-05

Cut         Sum_W        Sum_W2       Acc    N_Norm       
SR110ee0    2.61412e-06  6.83362e-15  1      5.30666e-05  
SR110ee1    0            0            0      0            
SR110ee2    0            0            0      0            
SR110ee3    0            0            0      0            
SR110ee4    0            0            0      0            
SR110emu0   2.61412e-06  6.83362e-15  1      5.30666e-05  
SR110emu1   0            0            0      0            
SR110emu2   0            0            0      0            
SR110emu3   0            0            0      0            
SR110emu4   0            0            0      0            
SR110mumu0  2.61412e-06  6.83362e-15  1      5.30666e-05  
SR110mumu1  1.58938e-06  4.15484e-15  0.608  3.22645e-05  
SR110mumu2  7.52867e-07  1.96808e-15  0.288  1.52832e-05  
SR110mumu3  2.74483e-07  7.1753e-16   0.105  5.572e-06    
SR110mumu4  1.69918e-07  4.44185e-16  0.065  3.44933e-06  
SR90ee0     5.22824e-06  1.36672e-14  2      0.000106133  
SR90ee1     0            0            0      0            
SR90ee2     0            0            0      0            
SR90ee3     0            0            0      0            
SR90ee4     0            0            0      0            
SR90emu0    2.61412e-06  6.83362e-15  1      5.30666e-05  
SR90emu1    0            0            0      0            
SR90emu2    0            0            0      0            
SR90emu3    0            0            0      0            
SR90emu4    0            0            0      0            
SR90mumu0   2.61412e-06  6.83362e-15  1      5.30666e-05  
SR90mumu1   1.58938e-06  4.15484e-15  0.608  3.22645e-05  
SR90mumu2   7.52867e-07  1.96808e-15  0.288  1.52832e-05  
SR90mumu3   2.74483e-07  7.1753e-16   0.105  5.572e-06    
SR90mumu4   1.69918e-07  4.44185e-16  0.065  3.44933e-06  
SRWWa0      2.61412e-06  6.83362e-15  1      5.30666e-05  
SRWWa1      1.98412e-06  5.18672e-15  0.759  4.02776e-05  
SRWWa2      1.58938e-06  4.15484e-15  0.608  3.22645e-05  
SRWWa3      0            0            0      0            
SRWWa4      0            0            0      0            
SRWWa5      0            0            0      0            
SRWWa6      0            0            0      0            
SRWWa7      0            0            0      0            
SRWWa8      0            0            0      0            
SRWWa9      0            0            0      0            
SRWWb0      2.61412e-06  6.83362e-15  1      5.30666e-05  
SRWWb1      1.98412e-06  5.18672e-15  0.759  4.02776e-05  
SRWWb2      1.58938e-06  4.15484e-15  0.608  3.22645e-05  
SRWWb3      0            0            0      0            
SRWWb4      0            0            0      0            
SRWWb5      0            0            0      0            
SRWWb6      0            0            0      0            
SRWWb7      0            0            0      0            
SRWWb8      0            0            0      0            
SRWWb9      0            0            0      0            
SRWWc0      2.61412e-06  6.83362e-15  1      5.30666e-05  
SRWWc1      1.98412e-06  5.18672e-15  0.759  4.02776e-05  
SRWWc2      1.58938e-06  4.15484e-15  0.608  3.22645e-05  
SRWWc3      0            0            0      0            
SRWWc4      0            0            0      0            
SRWWc5      0            0            0      0            
SRWWc6      0            0            0      0            
SRWWc7      0            0            0      0            
SRWWc8      0            0            0      0            
