#ATLAS
#ATLAS-CONF-2013-089
#2 leptons, razor
#sqrt(s) = 8 TeV
#int(L) = 20.3 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.30666e-05

Cut                          Sum_W        Sum_W2       Acc    N_Norm       
0                            2.61412e-06  6.83362e-15  1      5.30666e-05  
1                            2.17233e-06  5.67874e-15  0.831  4.40984e-05  
2                            2.04424e-06  5.34389e-15  0.782  4.14981e-05  
3                            1.67826e-06  4.38719e-15  0.642  3.40688e-05  
4                            1.67826e-06  4.38719e-15  0.642  3.40688e-05  
a_Lep_1_ee                   0            0            0      0            
a_Lep_1_emu                  0            0            0      0            
a_Lep_1_mumu                 1.67826e-06  4.38719e-15  0.642  3.40688e-05  
a_Lep_2_ee                   0            0            0      0            
a_Lep_2_emu                  0            0            0      0            
a_Lep_2_mumu                 1.61291e-06  4.21635e-15  0.617  3.27421e-05  
a_Lep_3_ee                   0            0            0      0            
a_Lep_3_emu                  0            0            0      0            
a_Lep_3_mumu                 1.55279e-06  4.05917e-15  0.594  3.15216e-05  
b_Jet_ee_J2                  0            0            0      0            
b_Jet_ee_J3                  0            0            0      0            
b_Jet_emu_J2                 0            0            0      0            
b_Jet_emu_J3                 0            0            0      0            
b_Jet_mumu_J2                1.54233e-06  4.03184e-15  0.59   3.13093e-05  
b_Jet_mumu_J3                1.04565e-08  2.73345e-17  0.004  2.12267e-07  
c_Z_ee_J2_Z                  0            0            0      0            
c_Z_ee_J2_noZ                0            0            0      0            
c_Z_ee_J3_Z                  0            0            0      0            
c_Z_ee_J3_noZ                0            0            0      0            
c_Z_emu_J2_Z                 0            0            0      0            
c_Z_emu_J2_noZ               0            0            0      0            
c_Z_emu_J3_Z                 0            0            0      0            
c_Z_emu_J3_noZ               0            0            0      0            
c_Z_mumu_J2_Z                1.54233e-06  4.03184e-15  0.59   3.13093e-05  
c_Z_mumu_J2_noZ              7.63323e-07  1.99542e-15  0.292  1.54955e-05  
c_Z_mumu_J3_Z                1.04565e-08  2.73345e-17  0.004  2.12267e-07  
c_Z_mumu_J3_noZ              5.22824e-09  1.36672e-17  0.002  1.06133e-07  
d_R05_ee_J2_Z_R035           0            0            0      0            
d_R05_ee_J2_Z_R05            0            0            0      0            
d_R05_ee_J2_noZ_R035         0            0            0      0            
d_R05_ee_J2_noZ_R05          0            0            0      0            
d_R05_ee_J3_Z_R035           0            0            0      0            
d_R05_ee_J3_Z_R05            0            0            0      0            
d_R05_ee_J3_noZ_R035         0            0            0      0            
d_R05_ee_J3_noZ_R05          0            0            0      0            
d_R05_emu_J2_Z_R035          0            0            0      0            
d_R05_emu_J2_Z_R05           0            0            0      0            
d_R05_emu_J2_noZ_R035        0            0            0      0            
d_R05_emu_J2_noZ_R05         0            0            0      0            
d_R05_emu_J3_Z_R035          0            0            0      0            
d_R05_emu_J3_Z_R05           0            0            0      0            
d_R05_emu_J3_noZ_R035        0            0            0      0            
d_R05_emu_J3_noZ_R05         0            0            0      0            
d_R05_mumu_J2_Z_R035         1.22079e-06  3.1913e-15   0.467  2.47821e-05  
d_R05_mumu_J2_Z_R05          9.01871e-07  2.3576e-15   0.345  1.8308e-05   
d_R05_mumu_J2_noZ_R035       6.16932e-07  1.61273e-15  0.236  1.25237e-05  
d_R05_mumu_J2_noZ_R05        4.62699e-07  1.20955e-15  0.177  9.39279e-06  
d_R05_mumu_J3_Z_R035         5.22824e-09  1.36672e-17  0.002  1.06133e-07  
d_R05_mumu_J3_Z_R05          2.61412e-09  6.83362e-18  0.001  5.30666e-08  
d_R05_mumu_J3_noZ_R035       2.61412e-09  6.83362e-18  0.001  5.30666e-08  
d_R05_mumu_J3_noZ_R05        2.61412e-09  6.83362e-18  0.001  5.30666e-08  
e_MR_ee_J2_Z_R035_MR400      0            0            0      0            
e_MR_ee_J2_Z_R035_MR600      0            0            0      0            
e_MR_ee_J2_Z_R035_MR800      0            0            0      0            
e_MR_ee_J2_Z_R05_MR400       0            0            0      0            
e_MR_ee_J2_Z_R05_MR600       0            0            0      0            
e_MR_ee_J2_Z_R05_MR800       0            0            0      0            
e_MR_ee_J2_noZ_R035_MR400    0            0            0      0            
e_MR_ee_J2_noZ_R035_MR600    0            0            0      0            
e_MR_ee_J2_noZ_R035_MR800    0            0            0      0            
e_MR_ee_J2_noZ_R05_MR400     0            0            0      0            
e_MR_ee_J2_noZ_R05_MR600     0            0            0      0            
e_MR_ee_J2_noZ_R05_MR800     0            0            0      0            
e_MR_ee_J3_Z_R035_MR400      0            0            0      0            
e_MR_ee_J3_Z_R035_MR600      0            0            0      0            
e_MR_ee_J3_Z_R035_MR800      0            0            0      0            
e_MR_ee_J3_Z_R05_MR400       0            0            0      0            
e_MR_ee_J3_Z_R05_MR600       0            0            0      0            
e_MR_ee_J3_Z_R05_MR800       0            0            0      0            
e_MR_ee_J3_noZ_R035_MR400    0            0            0      0            
e_MR_ee_J3_noZ_R035_MR600    0            0            0      0            
e_MR_ee_J3_noZ_R035_MR800    0            0            0      0            
e_MR_ee_J3_noZ_R05_MR400     0            0            0      0            
e_MR_ee_J3_noZ_R05_MR600     0            0            0      0            
e_MR_ee_J3_noZ_R05_MR800     0            0            0      0            
e_MR_emu_J2_Z_R035_MR400     0            0            0      0            
e_MR_emu_J2_Z_R035_MR600     0            0            0      0            
e_MR_emu_J2_Z_R035_MR800     0            0            0      0            
e_MR_emu_J2_Z_R05_MR400      0            0            0      0            
e_MR_emu_J2_Z_R05_MR600      0            0            0      0            
e_MR_emu_J2_Z_R05_MR800      0            0            0      0            
e_MR_emu_J2_noZ_R035_MR400   0            0            0      0            
e_MR_emu_J2_noZ_R035_MR600   0            0            0      0            
e_MR_emu_J2_noZ_R035_MR800   0            0            0      0            
e_MR_emu_J2_noZ_R05_MR400    0            0            0      0            
e_MR_emu_J2_noZ_R05_MR600    0            0            0      0            
e_MR_emu_J2_noZ_R05_MR800    0            0            0      0            
e_MR_emu_J3_Z_R035_MR400     0            0            0      0            
e_MR_emu_J3_Z_R035_MR600     0            0            0      0            
e_MR_emu_J3_Z_R035_MR800     0            0            0      0            
e_MR_emu_J3_Z_R05_MR400      0            0            0      0            
e_MR_emu_J3_Z_R05_MR600      0            0            0      0            
e_MR_emu_J3_Z_R05_MR800      0            0            0      0            
e_MR_emu_J3_noZ_R035_MR400   0            0            0      0            
e_MR_emu_J3_noZ_R035_MR600   0            0            0      0            
e_MR_emu_J3_noZ_R035_MR800   0            0            0      0            
e_MR_emu_J3_noZ_R05_MR400    0            0            0      0            
e_MR_emu_J3_noZ_R05_MR600    0            0            0      0            
e_MR_emu_J3_noZ_R05_MR800    0            0            0      0            
e_MR_mumu_J2_Z_R035_MR400    1.56847e-08  4.10017e-17  0.006  3.184e-07    
e_MR_mumu_J2_Z_R035_MR600    2.61412e-09  6.83362e-18  0.001  5.30666e-08  
e_MR_mumu_J2_Z_R035_MR800    0            0            0      0            
e_MR_mumu_J2_Z_R05_MR400     5.22824e-09  1.36672e-17  0.002  1.06133e-07  
e_MR_mumu_J2_Z_R05_MR600     2.61412e-09  6.83362e-18  0.001  5.30666e-08  
