# Search for an invisibly decaying Higgs boson produced via vector boson fusion.

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.30666e-05

Cut                Sum_W        Sum_W2       Acc    N_Norm       
0_2jets            1.17635e-07  3.07513e-16  0.045  2.388e-06    
1_btag             6.79671e-08  1.77674e-16  0.026  1.37973e-06  
2_tautag           6.79671e-08  1.77674e-16  0.026  1.37973e-06  
3_leptonveto       2.61412e-09  6.83362e-18  0.001  5.30666e-08  
4_MET              2.61412e-09  6.83362e-18  0.001  5.30666e-08  
5_DeltaPhijet      2.61412e-09  6.83362e-18  0.001  5.30666e-08  
6_DeltaPhi_jetMET  0            0            0      0            
7_DeltaETA         0            0            0      0            
8_Mcut             0            0            0      0            
9_jetveto          0            0            0      0            
