#CMS
#1303:2985
#Hadronic alpha_T + b-jets
#sqrt(s) = 8 TeV
#int(L) = 11.7 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     3.05852e-05

Cut  Sum_W        Sum_W2       Acc    N_Norm       
00   2.61412e-06  6.83362e-15  1      3.05852e-05  
01   6.74443e-07  1.76307e-15  0.258  7.89098e-06  
02   4.70542e-08  1.23005e-16  0.018  5.50534e-07  
03   1.82988e-08  4.78354e-17  0.007  2.14096e-07  
04   1.82988e-08  4.78354e-17  0.007  2.14096e-07  
05   1.56847e-08  4.10017e-17  0.006  1.83511e-07  
06   1.56847e-08  4.10017e-17  0.006  1.83511e-07  
07   0            0            0      0            
08   0            0            0      0            
09   0            0            0      0            
10   0            0            0      0            
11   0            0            0      0            
12   0            0            0      0            
