# CMS
# CMS_1408_3583
# monojet, etmiss
# sqrt(s) = 8 TeV
# int(L) = 19.7 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.14982e-05

Cut  Sum_W        Sum_W2       Acc    N_Norm       
0    2.61412e-06  6.83362e-15  1      5.14982e-05  
1    7.31954e-08  1.91341e-16  0.028  1.44195e-06  
2    7.05812e-08  1.84508e-16  0.027  1.39045e-06  
3    4.70542e-08  1.23005e-16  0.018  9.26967e-07  
4    4.18259e-08  1.09338e-16  0.016  8.23971e-07  
5    0            0            0      0            
6    0            0            0      0            
7    0            0            0      0            
8    0            0            0      0            
9    0            0            0      0            
9a   0            0            0      0            
9b   0            0            0      0            
9c   0            0            0      0            
