# Based on arXiv:1603.02248 [hep-ex]
# Cuts are in Table:2
# Number of obs and bkgs are in Table:7

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.14982e-05

Cut        Sum_W  Sum_W2  Acc  N_Norm  
CR150_ee   0      0       0    0       
CR150_emu  0      0       0    0       
CR200_ee   0      0       0    0       
CR200_emu  0      0       0    0       
CR250_ee   0      0       0    0       
CR250_emu  0      0       0    0       
CR300_ee   0      0       0    0       
CR300_emu  0      0       0    0       
CR350_emu  0      0       0    0       
CR400_emu  0      0       0    0       
CR500_ee   0      0       0    0       
CR500_emu  0      0       0    0       
CR90_ee    0      0       0    0       
CR90_emu   0      0       0    0       
CRlow_ee   0      0       0    0       
CRlow_emu  0      0       0    0       
