#ATLAS
#arXiv:1402.7029
#3 leptons and etmiss
#sqrt(s) = 8 Tev
#int(L) = 20.3 fb^-1

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     36.8965

Cut                Sum_W       Sum_W2       Acc    N_Norm     
CR0_0All           1.81756     0.00330353   1      36.8965    
CR0_1Trigger       1.81756     0.00330353   1      36.8965    
CR0_2ThreeLeptons  0.607066    0.00110338   0.334  12.3234    
CR0_3Separated     0.603431    0.00109677   0.332  12.2496    
CR0_4EorMu         0.603431    0.00109677   0.332  12.2496    
CR_0_1NoTau        0.603431    0.00109677   0.332  12.2496    
CR_0a_01_1msfos    0.0218107   3.96424e-05  0.012  0.442758   
CR_0a_01_2bveto    0.0218107   3.96424e-05  0.012  0.442758   
CR_0a_01_3etmiss   0.00363512  6.60707e-06  0.002  0.073793   
CR_0a_01_4mt3      0.00181756  3.30353e-06  0.001  0.0368965  
CR_0a_02_1msfos    0.0218107   3.96424e-05  0.012  0.442758   
CR_0a_02_2bveto    0.0218107   3.96424e-05  0.012  0.442758   
CR_0a_02_3etmiss   0.00545269  9.9106e-06   0.003  0.11069    
CR_0a_03_1msfos    0.0218107   3.96424e-05  0.012  0.442758   
CR_0a_03_2bveto    0.0218107   3.96424e-05  0.012  0.442758   
CR_0a_04_1msfos    0.0218107   3.96424e-05  0.012  0.442758   
CR_0a_04_2bveto    0.0218107   3.96424e-05  0.012  0.442758   
CR_0a_04_3etmiss   0.00908781  1.65177e-05  0.005  0.184483   
CR_0a_04_4mt3      0.00727025  1.32141e-05  0.004  0.147586   
CR_0a_05_1msfos    0.0545269   9.9106e-05   0.03   1.1069     
CR_0a_05_2bveto    0.0545269   9.9106e-05   0.03   1.1069     
CR_0a_05_3etmiss   0.0109054   1.98212e-05  0.006  0.221379   
CR_0a_05_4mt3      0.00545269  9.9106e-06   0.003  0.11069    
CR_0a_05_5zveto    0.00363512  6.60707e-06  0.002  0.073793   
CR_0a_06_1msfos    0.0545269   9.9106e-05   0.03   1.1069     
CR_0a_06_2bveto    0.0545269   9.9106e-05   0.03   1.1069     
CR_0a_06_3etmiss   0.00363512  6.60707e-06  0.002  0.073793   
CR_0a_06_4mt3      0.00181756  3.30353e-06  0.001  0.0368965  
CR_0a_07_1msfos    0.0545269   9.9106e-05   0.03   1.1069     
CR_0a_07_2bveto    0.0545269   9.9106e-05   0.03   1.1069     
CR_0a_07_3etmiss   0.0145405   2.64283e-05  0.008  0.295172   
CR_0a_07_4mt3      0.00727025  1.32141e-05  0.004  0.147586   
CR_0a_08_1msfos    0.0545269   9.9106e-05   0.03   1.1069     
CR_0a_08_2bveto    0.0545269   9.9106e-05   0.03   1.1069     
CR_0a_09_1msfos    0.0763376   0.000138748  0.042  1.54965    
CR_0a_09_2bveto    0.0727025   0.000132141  0.04   1.47586    
CR_0a_09_3etmiss   0.00545269  9.9106e-06   0.003  0.11069    
CR_0a_09_4mt3      0.00181756  3.30353e-06  0.001  0.0368965  
CR_0a_0sfos        0.603431    0.00109677   0.332  12.2496    
CR_0a_10_1msfos    0.0763376   0.000138748  0.042  1.54965    
CR_0a_10_2bveto    0.0727025   0.000132141  0.04   1.47586    
CR_0a_10_3etmiss   0.00545269  9.9106e-06   0.003  0.11069    
CR_0a_10_4mt3      0.00363512  6.60707e-06  0.002  0.073793   
CR_0a_11_1msfos    0.0763376   0.000138748  0.042  1.54965    
CR_0a_11_2bveto    0.0727025   0.000132141  0.04   1.47586    
CR_0a_11_3etmiss   0.0163581   2.97318e-05  0.009  0.332069   
CR_0a_11_4mt3      0.00545269  9.9106e-06   0.003  0.11069    
CR_0a_12_1msfos    0.0763376   0.000138748  0.042  1.54965    
CR_0a_12_2bveto    0.0727025   0.000132141  0.04   1.47586    
CR_0a_12_3etmiss   0.0163581   2.97318e-05  0.009  0.332069   
CR_0a_12_4mt3      0.0109054   1.98212e-05  0.006  0.221379   
CR_0a_13_1msfos    0.189026    0.000343567  0.104  3.83724    
CR_0a_13_2bveto    0.179939    0.00032705   0.099  3.65276    
CR_0a_13_3etmiss   0.0399864   7.26777e-05  0.022  0.811723   
CR_0a_13_4mt3      0.0272634   4.9553e-05   0.015  0.553448   
CR_0a_13_5zveto    0.0254459   4.62495e-05  0.014  0.516551   
CR_0a_14_1msfos    0.189026    0.000343567  0.104  3.83724    
CR_0a_14_2bveto    0.179939    0.00032705   0.099  3.65276    
CR_0a_14_3etmiss   0.0399864   7.26777e-05  0.022  0.811723   
CR_0a_14_4mt3      0.00908781  1.65177e-05  0.005  0.184483   
CR_0a_15_1msfos    0.189026    0.000343567  0.104  3.83724    
CR_0a_15_2bveto    0.179939    0.00032705   0.099  3.65276    
CR_0a_15_3etmiss   0.0654322   0.000118927  0.036  1.32827    
CR_0a_15_4mt3      0.029081    5.28565e-05  0.016  0.590344   
CR_0a_16_1msfos    0.189026    0.000343567  0.104  3.83724    
CR_0a_16_2bveto    0.179939    0.00032705   0.099  3.65276    
CR_0a_16_3etmiss   0.0145405   2.64283e-05  0.008  0.295172   
CR_0a_16_4mt3      0.0145405   2.64283e-05  0.008  0.295172   
CR_0a_16_5zveto    0.0145405   2.64283e-05  0.008  0.295172   
CR_0a_17_1msfos    0.261729    0.000475709  0.144  5.3131     
CR_0a_17_2bveto    0.254459    0.000462495  0.14   5.16551    
CR_0a_17_3etmiss   0.0926957   0.00016848   0.051  1.88172    
CR_0a_17_4mt3      0.0763376   0.000138748  0.042  1.54965    
CR_0a_18_1msfos    0.261729    0.000475709  0.144  5.3131     
CR_0a_18_2bveto    0.254459    0.000462495  0.14   5.16551    
CR_0a_18_3etmiss   0.0926957   0.00016848   0.051  1.88172    
CR_0a_18_4mt3      0.0163581   2.97318e-05  0.009  0.332069   
CR_0a_19_1msfos    0.261729    0.000475709  0.144  5.3131     
CR_0a_19_2bveto    0.254459    0.000462495  0.14   5.16551    
CR_0a_19_3etmiss   0.00727025  1.32141e-05  0.004  0.147586   
CR_0a_20_1msfos    0.261729    0.000475709  0.144  5.3131     
CR_0a_20_2bveto    0.254459    0.000462495  0.14   5.16551    
CR_0a_20_3etmiss   0.00727025  1.32141e-05  0.004  0.147586   
CR_0a_20_4mt3      0.00727025  1.32141e-05  0.004  0.147586   
