#ATLAS
#arXiv:1402.7029
#3 leptons and etmiss
#sqrt(s) = 8 Tev
#int(L) = 20.3 fb^-1

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     36.8965

SR         Sum_W       Sum_W2       Acc    N_Norm     
SR0taua01  0.00181756  3.30353e-06  0.001  0.0368965  
SR0taua02  0           0            0      0          
SR0taua03  0           0            0      0          
SR0taua04  0.00727025  1.32141e-05  0.004  0.147586   
SR0taua05  0.00363512  6.60707e-06  0.002  0.073793   
SR0taua06  0.00181756  3.30353e-06  0.001  0.0368965  
SR0taua07  0.00727025  1.32141e-05  0.004  0.147586   
SR0taua08  0           0            0      0          
SR0taua09  0           0            0      0          
SR0taua10  0.00363512  6.60707e-06  0.002  0.073793   
SR0taua11  0.00545269  9.9106e-06   0.003  0.11069    
SR0taua12  0.0109054   1.98212e-05  0.006  0.221379   
SR0taua13  0.0254459   4.62495e-05  0.014  0.516551   
SR0taua14  0.00908781  1.65177e-05  0.005  0.184483   
SR0taua15  0.029081    5.28565e-05  0.016  0.590344   
SR0taua16  0.0145405   2.64283e-05  0.008  0.295172   
SR0taua17  0.0763376   0.000138748  0.042  1.54965    
SR0taua18  0.0163581   2.97318e-05  0.009  0.332069   
SR0taua19  0           0            0      0          
SR0taua20  0.00727025  1.32141e-05  0.004  0.147586   
SR0taub    0           0            0      0          
SR1tau     0           0            0      0          
SR2taua    0           0            0      0          
SR2taub    0           0            0      0          
