#Search for direct top-squark pair production in final states with two leptons in pp collisions at \sqrt{s}=8 TeV with the ATLAS detector

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     36.8965

Cut       Sum_W       Sum_W2       Acc    N_Norm    
DFH1600   1.81756     0.00330353   1      36.8965   
DFH1601   1.81756     0.00330353   1      36.8965   
DFH16010  0           0            0      0         
DFH16011  0           0            0      0         
DFH1602   0.105419    0.000191605  0.058  2.14      
DFH1603   0           0            0      0         
DFH1604   0           0            0      0         
DFH1605   0           0            0      0         
DFH1606   0           0            0      0         
DFH1607   0           0            0      0         
DFH1608   0           0            0      0         
DFH1609   0           0            0      0         
DFM1000   1.81756     0.00330353   1      36.8965   
DFM1001   1.81756     0.00330353   1      36.8965   
DFM10010  0           0            0      0         
DFM10011  0           0            0      0         
DFM1002   0.105419    0.000191605  0.058  2.14      
DFM1003   0           0            0      0         
DFM1004   0           0            0      0         
DFM1005   0           0            0      0         
DFM1006   0           0            0      0         
DFM1007   0           0            0      0         
DFM1008   0           0            0      0         
DFM1009   0           0            0      0         
DFM1100   1.81756     0.00330353   1      36.8965   
DFM1101   1.81756     0.00330353   1      36.8965   
DFM11010  0           0            0      0         
DFM11011  0           0            0      0         
DFM1102   0.105419    0.000191605  0.058  2.14      
DFM1103   0           0            0      0         
DFM1104   0           0            0      0         
DFM1105   0           0            0      0         
DFM1106   0           0            0      0         
DFM1107   0           0            0      0         
DFM1108   0           0            0      0         
DFM1109   0           0            0      0         
DFM1200   1.81756     0.00330353   1      36.8965   
DFM1201   1.81756     0.00330353   1      36.8965   
DFM12010  0           0            0      0         
DFM12011  0           0            0      0         
DFM1202   0.105419    0.000191605  0.058  2.14      
DFM1203   0           0            0      0         
DFM1204   0           0            0      0         
DFM1205   0           0            0      0         
DFM1206   0           0            0      0         
DFM1207   0           0            0      0         
DFM1208   0           0            0      0         
DFM1209   0           0            0      0         
DFM900    1.81756     0.00330353   1      36.8965   
DFM901    1.81756     0.00330353   1      36.8965   
DFM9010   0           0            0      0         
DFM9011   0           0            0      0         
DFM902    0.105419    0.000191605  0.058  2.14      
DFM903    0           0            0      0         
DFM904    0           0            0      0         
DFM905    0           0            0      0         
DFM906    0           0            0      0         
DFM907    0           0            0      0         
DFM908    0           0            0      0         
DFM909    0           0            0      0         
SFH1600   1.81756     0.00330353   1      36.8965   
SFH1601   1.81756     0.00330353   1      36.8965   
SFH16010  0           0            0      0         
SFH16011  0           0            0      0         
SFH1602   0.105419    0.000191605  0.058  2.14      
SFH1603   0.105419    0.000191605  0.058  2.14      
SFH1604   0.101783    0.000184998  0.056  2.0662    
SFH1605   0.0690674   0.000125534  0.038  1.40207   
SFH1606   0.0690674   0.000125534  0.038  1.40207   
SFH1607   0.0690674   0.000125534  0.038  1.40207   
SFH1608   0           0            0      0         
SFH1609   0           0            0      0         
SFM1000   1.81756     0.00330353   1      36.8965   
SFM1001   1.81756     0.00330353   1      36.8965   
SFM10010  0.0218107   3.96424e-05  0.012  0.442758  
SFM10011  0           0            0      0         
SFM1002   0.105419    0.000191605  0.058  2.14      
SFM1003   0.105419    0.000191605  0.058  2.14      
SFM1004   0.101783    0.000184998  0.056  2.0662    
SFM1005   0.0690674   0.000125534  0.038  1.40207   
SFM1006   0.0690674   0.000125534  0.038  1.40207   
SFM1007   0.0690674   0.000125534  0.038  1.40207   
SFM1008   0.0454391   8.25883e-05  0.025  0.922413  
SFM1009   0.0327161   5.94636e-05  0.018  0.664137  
SFM1100   1.81756     0.00330353   1      36.8965   
SFM1101   1.81756     0.00330353   1      36.8965   
SFM11010  0.0218107   3.96424e-05  0.012  0.442758  
SFM11011  0           0            0      0         
SFM1102   0.105419    0.000191605  0.058  2.14      
SFM1103   0.105419    0.000191605  0.058  2.14      
SFM1104   0.101783    0.000184998  0.056  2.0662    
SFM1105   0.0690674   0.000125534  0.038  1.40207   
SFM1106   0.0690674   0.000125534  0.038  1.40207   
SFM1107   0.0690674   0.000125534  0.038  1.40207   
SFM1108   0.0454391   8.25883e-05  0.025  0.922413  
SFM1109   0.0327161   5.94636e-05  0.018  0.664137  
SFM1200   1.81756     0.00330353   1      36.8965   
SFM1201   1.81756     0.00330353   1      36.8965   
SFM12010  0.0218107   3.96424e-05  0.012  0.442758  
SFM12011  0           0            0      0         
SFM1202   0.105419    0.000191605  0.058  2.14      
SFM1203   0.105419    0.000191605  0.058  2.14      
SFM1204   0.101783    0.000184998  0.056  2.0662    
SFM1205   0.0690674   0.000125534  0.038  1.40207   
SFM1206   0.0690674   0.000125534  0.038  1.40207   
SFM1207   0.0690674   0.000125534  0.038  1.40207   
SFM1208   0.0454391   8.25883e-05  0.025  0.922413  
SFM1209   0.0327161   5.94636e-05  0.018  0.664137  
SFM900    1.81756     0.00330353   1      36.8965   
SFM901    1.81756     0.00330353   1      36.8965   
SFM9010   0.0218107   3.96424e-05  0.012  0.442758  
SFM9011   0.00363512  6.60707e-06  0.002  0.073793  
SFM902    0.105419    0.000191605  0.058  2.14      
SFM903    0.105419    0.000191605  0.058  2.14      
SFM904    0.101783    0.000184998  0.056  2.0662    
SFM905    0.0690674   0.000125534  0.038  1.40207   
SFM906    0.0690674   0.000125534  0.038  1.40207   
SFM907    0.0690674   0.000125534  0.038  1.40207   
SFM908    0.0454391   8.25883e-05  0.025  0.922413  
SFM909    0.0327161   5.94636e-05  0.018  0.664137  
