# ATLAS
# arXiv:1501.07110
# an isolated lepton, 125GeV Higgs and missing Et
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     36.8965

Cut                   Sum_W       Sum_W2       Acc    N_Norm    
SRlbb-01-1lep2bjets   0           0            0      0         
SRlbb-02-missingET    0           0            0      0         
SRlbb-03-mct          0           0            0      0         
SRlbb-04-mtw          0           0            0      0         
SRlbb-05-mbb          0           0            0      0         
SRlbb-06-onHiggs-1    0           0            0      0         
SRlbb-07-sidebands-1  0           0            0      0         
SRlbb-08-onHiggs-2    0           0            0      0         
SRlbb-09-sidebands-2  0           0            0      0         
SRll-ee-01-sameSign   0           0            0      0         
SRll-ee-02-veto1      0           0            0      0         
SRll-ee-03-jets       0           0            0      0         
SRll-ee-04-veto2      0           0            0      0         
SRll-ee-05-pt         0           0            0      0         
SRll-ee-06-deltaEta   0           0            0      0         
SRll-ee-07-etRel      0           0            0      0         
SRll-ee-08-meff       0           0            0      0         
SRll-ee-09-mt         0           0            0      0         
SRll-ee-10-mass       0           0            0      0         
SRll-em-01-sameSign   0           0            0      0         
SRll-em-02-veto1      0           0            0      0         
SRll-em-03-jets       0           0            0      0         
SRll-em-04-veto2      0           0            0      0         
SRll-em-05-pt         0           0            0      0         
SRll-em-06-deltaEta   0           0            0      0         
SRll-em-07-etRel      0           0            0      0         
SRll-em-08-meff       0           0            0      0         
SRll-em-09-mt         0           0            0      0         
SRll-em-10-mass       0           0            0      0         
SRll-mm-01-sameSign   0.436215    0.000792848  0.24   8.85516   
SRll-mm-02-veto1      0.421674    0.00076642   0.232  8.55999   
SRll-mm-03-jets       0.187209    0.000340264  0.103  3.80034   
SRll-mm-04-veto2      0.0272634   4.9553e-05   0.015  0.553448  
SRll-mm-05-pt         0.0272634   4.9553e-05   0.015  0.553448  
SRll-mm-06-deltaEta   0.0236283   4.29459e-05  0.013  0.479655  
SRll-mm-07-etRel      0.0199932   3.63389e-05  0.011  0.405862  
SRll-mm-08-meff       0.0199932   3.63389e-05  0.011  0.405862  
SRll-mm-09-mt         0.0163581   2.97318e-05  0.009  0.332069  
SRll-mm-10-mass       0.00545269  9.9106e-06   0.003  0.11069   
SRlrr-01-leprr        0           0            0      0         
SRlrr-02-mrr          0           0            0      0         
SRlrr-03-et           0           0            0      0         
SRlrr-04-dphi         0           0            0      0         
SRlrr-05-1            0           0            0      0         
SRlrr-06-2            0           0            0      0         
