#ATLAS
#ATLAS-CONF-2013-049
#2 leptons + etmiss
#sqrt(s) = 8 TeV
#int(L) = 20.3 fb^-1

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     36.8965

Cut         Sum_W      Sum_W2       Acc    N_Norm    
SR110ee0    1.81756    0.00330353   1      36.8965   
SR110ee1    0          0            0      0         
SR110ee2    0          0            0      0         
SR110ee3    0          0            0      0         
SR110ee4    0          0            0      0         
SR110emu0   1.81756    0.00330353   1      36.8965   
SR110emu1   0          0            0      0         
SR110emu2   0          0            0      0         
SR110emu3   0          0            0      0         
SR110emu4   0          0            0      0         
SR110mumu0  1.81756    0.00330353   1      36.8965   
SR110mumu1  0.0854254  0.000155266  0.047  1.73414   
SR110mumu2  0.0690674  0.000125534  0.038  1.40207   
SR110mumu3  0.0181756  3.30353e-05  0.01   0.368965  
SR110mumu4  0.0145405  2.64283e-05  0.008  0.295172  
SR90ee0     3.63512    0.00660707   2      73.793    
SR90ee1     0          0            0      0         
SR90ee2     0          0            0      0         
SR90ee3     0          0            0      0         
SR90ee4     0          0            0      0         
SR90emu0    1.81756    0.00330353   1      36.8965   
SR90emu1    0          0            0      0         
SR90emu2    0          0            0      0         
SR90emu3    0          0            0      0         
SR90emu4    0          0            0      0         
SR90mumu0   1.81756    0.00330353   1      36.8965   
SR90mumu1   0.0854254  0.000155266  0.047  1.73414   
SR90mumu2   0.0690674  0.000125534  0.038  1.40207   
SR90mumu3   0.0181756  3.30353e-05  0.01   0.368965  
SR90mumu4   0.0145405  2.64283e-05  0.008  0.295172  
SRWWa0      1.81756    0.00330353   1      36.8965   
SRWWa1      0.139952   0.000254372  0.077  2.84103   
SRWWa2      0.116324   0.000211426  0.064  2.36138   
SRWWa3      0          0            0      0         
SRWWa4      0          0            0      0         
SRWWa5      0          0            0      0         
SRWWa6      0          0            0      0         
SRWWa7      0          0            0      0         
SRWWa8      0          0            0      0         
SRWWa9      0          0            0      0         
SRWWb0      1.81756    0.00330353   1      36.8965   
SRWWb1      0.139952   0.000254372  0.077  2.84103   
SRWWb2      0.116324   0.000211426  0.064  2.36138   
SRWWb3      0          0            0      0         
SRWWb4      0          0            0      0         
SRWWb5      0          0            0      0         
SRWWb6      0          0            0      0         
SRWWb7      0          0            0      0         
SRWWb8      0          0            0      0         
SRWWb9      0          0            0      0         
SRWWc0      1.81756    0.00330353   1      36.8965   
SRWWc1      0.139952   0.000254372  0.077  2.84103   
SRWWc2      0.116324   0.000211426  0.064  2.36138   
SRWWc3      0          0            0      0         
SRWWc4      0          0            0      0         
SRWWc5      0          0            0      0         
SRWWc6      0          0            0      0         
SRWWc7      0          0            0      0         
SRWWc8      0          0            0      0         
