#ATLAS
#ATLAS-CONF-2013-089
#2 leptons, razor
#sqrt(s) = 8 TeV
#int(L) = 20.3 fb^-1

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     36.8965

Cut                          Sum_W       Sum_W2       Acc    N_Norm     
0                            1.81756     0.00330353   1      36.8965    
1                            1.81393     0.00329693   0.998  36.8227    
2                            0.105419    0.000191605  0.058  2.14       
3                            0.0836079   0.000151963  0.046  1.69724    
4                            0.0836079   0.000151963  0.046  1.69724    
a_Lep_1_ee                   0           0            0      0          
a_Lep_1_emu                  0           0            0      0          
a_Lep_1_mumu                 0.0836079   0.000151963  0.046  1.69724    
a_Lep_2_ee                   0           0            0      0          
a_Lep_2_emu                  0           0            0      0          
a_Lep_2_mumu                 0.0799727   0.000145355  0.044  1.62345    
a_Lep_3_ee                   0           0            0      0          
a_Lep_3_emu                  0           0            0      0          
a_Lep_3_mumu                 0.0781552   0.000142052  0.043  1.58655    
b_Jet_ee_J2                  0           0            0      0          
b_Jet_ee_J3                  0           0            0      0          
b_Jet_emu_J2                 0           0            0      0          
b_Jet_emu_J3                 0           0            0      0          
b_Jet_mumu_J2                0.0781552   0.000142052  0.043  1.58655    
b_Jet_mumu_J3                0           0            0      0          
c_Z_ee_J2_Z                  0           0            0      0          
c_Z_ee_J2_noZ                0           0            0      0          
c_Z_ee_J3_Z                  0           0            0      0          
c_Z_ee_J3_noZ                0           0            0      0          
c_Z_emu_J2_Z                 0           0            0      0          
c_Z_emu_J2_noZ               0           0            0      0          
c_Z_emu_J3_Z                 0           0            0      0          
c_Z_emu_J3_noZ               0           0            0      0          
c_Z_mumu_J2_Z                0.0781552   0.000142052  0.043  1.58655    
c_Z_mumu_J2_noZ              0.0599796   0.000109017  0.033  1.21759    
c_Z_mumu_J3_Z                0           0            0      0          
c_Z_mumu_J3_noZ              0           0            0      0          
d_R05_ee_J2_Z_R035           0           0            0      0          
d_R05_ee_J2_Z_R05            0           0            0      0          
d_R05_ee_J2_noZ_R035         0           0            0      0          
d_R05_ee_J2_noZ_R05          0           0            0      0          
d_R05_ee_J3_Z_R035           0           0            0      0          
d_R05_ee_J3_Z_R05            0           0            0      0          
d_R05_ee_J3_noZ_R035         0           0            0      0          
d_R05_ee_J3_noZ_R05          0           0            0      0          
d_R05_emu_J2_Z_R035          0           0            0      0          
d_R05_emu_J2_Z_R05           0           0            0      0          
d_R05_emu_J2_noZ_R035        0           0            0      0          
d_R05_emu_J2_noZ_R05         0           0            0      0          
d_R05_emu_J3_Z_R035          0           0            0      0          
d_R05_emu_J3_Z_R05           0           0            0      0          
d_R05_emu_J3_noZ_R035        0           0            0      0          
d_R05_emu_J3_noZ_R05         0           0            0      0          
d_R05_mumu_J2_Z_R035         0.0508917   9.24989e-05  0.028  1.0331     
d_R05_mumu_J2_Z_R05          0.0418039   7.59813e-05  0.023  0.84862    
d_R05_mumu_J2_noZ_R035       0.0381688   6.93742e-05  0.021  0.774827   
d_R05_mumu_J2_noZ_R05        0.0308986   5.61601e-05  0.017  0.627241   
d_R05_mumu_J3_Z_R035         0           0            0      0          
d_R05_mumu_J3_Z_R05          0           0            0      0          
d_R05_mumu_J3_noZ_R035       0           0            0      0          
d_R05_mumu_J3_noZ_R05        0           0            0      0          
e_MR_ee_J2_Z_R035_MR400      0           0            0      0          
e_MR_ee_J2_Z_R035_MR600      0           0            0      0          
e_MR_ee_J2_Z_R035_MR800      0           0            0      0          
e_MR_ee_J2_Z_R05_MR400       0           0            0      0          
e_MR_ee_J2_Z_R05_MR600       0           0            0      0          
e_MR_ee_J2_Z_R05_MR800       0           0            0      0          
e_MR_ee_J2_noZ_R035_MR400    0           0            0      0          
e_MR_ee_J2_noZ_R035_MR600    0           0            0      0          
e_MR_ee_J2_noZ_R035_MR800    0           0            0      0          
e_MR_ee_J2_noZ_R05_MR400     0           0            0      0          
e_MR_ee_J2_noZ_R05_MR600     0           0            0      0          
e_MR_ee_J2_noZ_R05_MR800     0           0            0      0          
e_MR_ee_J3_Z_R035_MR400      0           0            0      0          
e_MR_ee_J3_Z_R035_MR600      0           0            0      0          
e_MR_ee_J3_Z_R035_MR800      0           0            0      0          
e_MR_ee_J3_Z_R05_MR400       0           0            0      0          
e_MR_ee_J3_Z_R05_MR600       0           0            0      0          
e_MR_ee_J3_Z_R05_MR800       0           0            0      0          
e_MR_ee_J3_noZ_R035_MR400    0           0            0      0          
e_MR_ee_J3_noZ_R035_MR600    0           0            0      0          
e_MR_ee_J3_noZ_R035_MR800    0           0            0      0          
e_MR_ee_J3_noZ_R05_MR400     0           0            0      0          
e_MR_ee_J3_noZ_R05_MR600     0           0            0      0          
e_MR_ee_J3_noZ_R05_MR800     0           0            0      0          
e_MR_emu_J2_Z_R035_MR400     0           0            0      0          
e_MR_emu_J2_Z_R035_MR600     0           0            0      0          
e_MR_emu_J2_Z_R035_MR800     0           0            0      0          
e_MR_emu_J2_Z_R05_MR400      0           0            0      0          
e_MR_emu_J2_Z_R05_MR600      0           0            0      0          
e_MR_emu_J2_Z_R05_MR800      0           0            0      0          
e_MR_emu_J2_noZ_R035_MR400   0           0            0      0          
e_MR_emu_J2_noZ_R035_MR600   0           0            0      0          
e_MR_emu_J2_noZ_R035_MR800   0           0            0      0          
e_MR_emu_J2_noZ_R05_MR400    0           0            0      0          
e_MR_emu_J2_noZ_R05_MR600    0           0            0      0          
e_MR_emu_J2_noZ_R05_MR800    0           0            0      0          
e_MR_emu_J3_Z_R035_MR400     0           0            0      0          
e_MR_emu_J3_Z_R035_MR600     0           0            0      0          
e_MR_emu_J3_Z_R035_MR800     0           0            0      0          
e_MR_emu_J3_Z_R05_MR400      0           0            0      0          
e_MR_emu_J3_Z_R05_MR600      0           0            0      0          
e_MR_emu_J3_Z_R05_MR800      0           0            0      0          
e_MR_emu_J3_noZ_R035_MR400   0           0            0      0          
e_MR_emu_J3_noZ_R035_MR600   0           0            0      0          
e_MR_emu_J3_noZ_R035_MR800   0           0            0      0          
e_MR_emu_J3_noZ_R05_MR400    0           0            0      0          
e_MR_emu_J3_noZ_R05_MR600    0           0            0      0          
e_MR_emu_J3_noZ_R05_MR800    0           0            0      0          
e_MR_mumu_J2_Z_R035_MR400    0.00545269  9.9106e-06   0.003  0.11069    
e_MR_mumu_J2_Z_R035_MR600    0.00363512  6.60707e-06  0.002  0.073793   
