#ATLAS
#ATLAS-CONF-2013-089
#2 leptons, razor
#sqrt(s) = 8 TeV
#int(L) = 20.3 fb^-1

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     36.8965

SR       Sum_W       Sum_W2       Acc    N_Norm    
DROF     0           0            0      0         
DROFOS   0           0            0      0         
DRSF     0.00363512  6.60707e-06  0.002  0.073793  
DRSFOS   0.00363512  6.60707e-06  0.002  0.073793  
SR1OF    0           0            0      0         
SR1OFOS  0           0            0      0         
SR1SF    0.00545269  9.9106e-06   0.003  0.11069   
SR1SFOS  0.00545269  9.9106e-06   0.003  0.11069   
SR2OF    0           0            0      0         
SR2OFOS  0           0            0      0         
SR2SF    0           0            0      0         
SR2SFOS  0           0            0      0         
