# Search for an invisibly decaying Higgs boson produced via vector boson fusion.

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     36.8965

Cut                Sum_W      Sum_W2       Acc    N_Norm    
0_2jets            0.0436215  7.92848e-05  0.024  0.885516  
1_btag             0.0345337  6.27671e-05  0.019  0.701034  
2_tautag           0.0345337  6.27671e-05  0.019  0.701034  
3_leptonveto       0          0            0      0         
4_MET              0          0            0      0         
5_DeltaPhijet      0          0            0      0         
6_DeltaPhi_jetMET  0          0            0      0         
7_DeltaETA         0          0            0      0         
8_Mcut             0          0            0      0         
9_jetveto          0          0            0      0         
