#CMS
#1303:2985
#Hadronic alpha_T + b-jets
#sqrt(s) = 8 TeV
#int(L) = 11.7 fb^-1

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     21.2655

Cut  Sum_W       Sum_W2       Acc    N_Norm     
00   1.81756     0.00330353   1      21.2655    
01   0.261729    0.000475709  0.144  3.06223    
02   0.0181756   3.30353e-05  0.01   0.212655   
03   0.0109054   1.98212e-05  0.006  0.127593   
04   0.0109054   1.98212e-05  0.006  0.127593   
05   0.00727025  1.32141e-05  0.004  0.0850619  
06   0.00727025  1.32141e-05  0.004  0.0850619  
07   0           0            0      0          
08   0           0            0      0          
09   0           0            0      0          
10   0           0            0      0          
11   0           0            0      0          
12   0           0            0      0          
