# CMS
# CMS_1408_3583
# monojet, etmiss
# sqrt(s) = 8 TeV
# int(L) = 19.7 fb^-1

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     35.806

Cut  Sum_W      Sum_W2       Acc    N_Norm    
0    1.81756    0.00330353   1      35.806    
1    0.029081   5.28565e-05  0.016  0.572896  
2    0.0254459  4.62495e-05  0.014  0.501284  
3    0.0163581  2.97318e-05  0.009  0.322254  
4    0.0127229  2.31247e-05  0.007  0.250642  
5    0          0            0      0         
6    0          0            0      0         
7    0          0            0      0         
8    0          0            0      0         
9    0          0            0      0         
9a   0          0            0      0         
9b   0          0            0      0         
9c   0          0            0      0         
