# cms
# cms_1502_06031
# two leptons, jets, missingET
# sqrt()[D
# sqrt(s))=8TeV
# int(L)=19.4 fb^-1

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     35.2607

Cut                       Sum_W       Sum_W2       Acc    N_Norm     
CR00_all                  1.81756     0.00330353   1      35.2607    
CR01_GE2lep               1.18142     0.0021473    0.65   22.9195    
CR02_mll                  0.152675    0.000277497  0.084  2.9619     
CR03_GE2jets              0.00908781  1.65177e-05  0.005  0.176304   
CR03_GE2jets_a.lowMET     0.00181756  3.30353e-06  0.001  0.0352607  
CR03_GE2jets_b.mediumMET  0.00181756  3.30353e-06  0.001  0.0352607  
CR03_GE2jets_c.highMET    0.00181756  3.30353e-06  0.001  0.0352607  
CR04_GE3jets              0           0            0      0          
CR04_GE3jets_a.lowMET     0           0            0      0          
CR04_GE3jets_b.mediumMET  0           0            0      0          
CR04_GE3jets_c.highMET    0           0            0      0          
SR01_GE2jets_c.highMET    0.00181756  3.30353e-06  0.001  0.0352607  
