analysis             sr                        signal_normevents  signal_err_tot     
atlas_1308_1841      SR01_8j50_a.0b            0.0                0                  
atlas_1308_1841      SR01_8j50_b.1b            0.0                0                  
atlas_1308_1841      SR01_8j50_c.GE2b          0.0                0                  
atlas_1308_1841      SR02_9j50_a.0b            0.0                0                  
atlas_1308_1841      SR02_9j50_b.1b            0.0                0                  
atlas_1308_1841      SR02_9j50_c.GE2b          0.0                0                  
atlas_1308_1841      SR03_GE10j50              0.0                0                  
atlas_1308_1841      SR04_7j80_a.0b            0.0                0                  
atlas_1308_1841      SR04_7j80_b.1b            0.0                0                  
atlas_1308_1841      SR04_7j80_c.GE2b          0.0                0                  
atlas_1308_1841      SR05_GE8j80_a.0b          0.0                0                  
atlas_1308_1841      SR05_GE8j80_b.1b          0.0                0                  
atlas_1308_1841      SR05_GE8j80_c.GE2b        0.0                0                  
atlas_1308_1841      SR06_GE8j50_340           0.0                0                  
atlas_1308_1841      SR06_GE8j50_420           0.0                0                  
atlas_1308_1841      SR07_GE9j50_340           0.0                0                  
atlas_1308_1841      SR07_GE9j50_420           0.0                0                  
atlas_1308_1841      SR08_GE10j50_340          0.0                0                  
atlas_1308_1841      SR08_GE10j50_420          0.0                0                  
atlas_1308_2631      SRA1                      0.0                0                  
atlas_1308_2631      SRA2                      0.0                0                  
atlas_1308_2631      SRA3                      0.0                0                  
atlas_1308_2631      SRA4                      0.0                0                  
atlas_1308_2631      SRA5                      0.0                0                  
atlas_1308_2631      SRB                       0.0                0                  
atlas_1402_7029      SR0taua01                 0.0                0                  
atlas_1402_7029      SR0taua02                 0.0                0                  
atlas_1402_7029      SR0taua03                 0.0                0                  
atlas_1402_7029      SR0taua04                 0.0                0                  
atlas_1402_7029      SR0taua05                 0.0                0                  
atlas_1402_7029      SR0taua06                 0.0                0                  
atlas_1402_7029      SR0taua07                 0.0                0                  
atlas_1402_7029      SR0taua08                 0.0                0                  
atlas_1402_7029      SR0taua09                 0.0                0                  
atlas_1402_7029      SR0taua10                 0.0                0                  
atlas_1402_7029      SR0taua11                 0.0                0                  
atlas_1402_7029      SR0taua12                 0.0                0                  
atlas_1402_7029      SR0taua13                 0.0                0                  
atlas_1402_7029      SR0taua14                 0.0                0                  
atlas_1402_7029      SR0taua15                 0.0                0                  
atlas_1402_7029      SR0taua16                 0.0                0                  
atlas_1402_7029      SR0taua17                 5.30666e-08        5.3066586898e-08   
atlas_1402_7029      SR0taua18                 0.0                0                  
