analysis             sr                        o         b         db              s                  ds               s95obs         s95exp         robscons          rexpcons           
atlas_1308_1841      SR01_8j50_a.0b            40.0      35.0      4.0             0.0                28.6511272088    20.0           16.0           0                 0                  
atlas_1308_1841      SR01_8j50_b.1b            44.0      40.0      10.0            0.0                28.6511272088    23.0           23.0           0                 0                  
atlas_1308_1841      SR01_8j50_c.GE2b          44.0      50.0      10.0            0.0                28.6511272088    22.0           26.0           0                 0                  
atlas_1308_1841      SR02_9j50_a.0b            5.0       3.3       0.7             0.0                28.6511272088    7.0            5.0            0                 0                  
atlas_1308_1841      SR02_9j50_b.1b            8.0       6.1       1.7             0.0                28.6511272088    9.0            7.0            0                 0                  
atlas_1308_1841      SR02_9j50_c.GE2b          7.0       8.0       2.7             0.0                28.6511272088    7.0            8.0            0                 0                  
atlas_1308_1841      SR03_GE10j50              3.0       1.37      0.35            0.0                28.6511272088    6.0            4.0            0                 0                  
atlas_1308_1841      SR04_7j80_a.0b            12.0      11.0      2.2             0.0                28.6511272088    10.0           10.0           0                 0                  
atlas_1308_1841      SR04_7j80_b.1b            17.0      17.0      6.0             0.0                28.6511272088    16.0           17.0           0                 0                  
atlas_1308_1841      SR04_7j80_c.GE2b          13.0      25.0      10.0            0.0                28.6511272088    12.0           14.0           0                 0                  
atlas_1308_1841      SR05_GE8j80_a.0b          2.0       0.9       0.6             0.0                28.6511272088    5.0            4.0            0                 0                  
atlas_1308_1841      SR05_GE8j80_b.1b          1.0       1.5       0.9             0.0                28.6511272088    3.5            4.0            0                 0                  
atlas_1308_1841      SR05_GE8j80_c.GE2b        3.0       3.3       2.2             0.0                28.6511272088    6.0            6.0            0                 0                  
atlas_1308_1841      SR06_GE8j50_340           69.0      75.0      19.0            0.0                28.6511272088    35.0           40.0           0                 0                  
atlas_1308_1841      SR06_GE8j50_420           37.0      45.0      14.0            0.0                28.6511272088    20.0           23.0           0                 0                  
atlas_1308_1841      SR07_GE9j50_340           13.0      17.0      7.0             0.0                28.6511272088    11.0           13.0           0                 0                  
atlas_1308_1841      SR07_GE9j50_420           9.0       11.0      5.0             0.0                28.6511272088    10.0           11.0           0                 0                  
atlas_1308_1841      SR08_GE10j50_340          1.0       3.2       3.5             0.0                28.6511272088    4.0            5.0            0                 0                  
atlas_1308_1841      SR08_GE10j50_420          1.0       2.2       2.0             0.0                28.6511272088    4.0            5.0            0                 0                  
atlas_1308_2631      SRA1                      102.0     94.0      13.0            0.0                28.4257064756    38.0           32.0           0                 0                  
atlas_1308_2631      SRA2                      48.0      39.0      6.0             0.0                28.4257064756    26.0           19.0           0                 0                  
atlas_1308_2631      SRA3                      14.0      15.8      2.8             0.0                28.4257064756    9.0            10.2           0                 0                  
atlas_1308_2631      SRA4                      7.0       5.9       1.1             0.0                28.4257064756    7.5            6.5            0                 0                  
atlas_1308_2631      SRA5                      3.0       2.5       0.6             0.0                28.4257064756    5.2            4.7            0                 0                  
