analysis         sr           signal_normevents  signal_err_tot  
atlas_1405_7875  SR01_a.2jl   0.0                0.808752        
atlas_1405_7875  SR01_b.2jm   0.0                0.808752        
atlas_1405_7875  SR01_c.2jt   0.0                0.808752        
atlas_1405_7875  SR01_d.2jW   0.0                0.808752        
atlas_1405_7875  SR02_3j      0.0                0.808752        
atlas_1405_7875  SR03_a.4jl-  0.0                0.808752        
atlas_1405_7875  SR03_b.4jl   0.0                0.808752        
atlas_1405_7875  SR03_c.4jm   0.0                0.808752        
atlas_1405_7875  SR03_d.4jt   0.0                0.808752        
atlas_1405_7875  SR03_e.4jW   0.0                0.808752        
atlas_1405_7875  SR04_5j      0.0                0.808752        
atlas_1405_7875  SR05_a.6jl   0.0                0.808752        
atlas_1405_7875  SR05_b.6jm   0.0                0.808752        
atlas_1405_7875  SR05_c.6jt   0.0                0.808752        
atlas_1405_7875  SR05_d.6jt+  0.0                0.808752        
