analysis         sr           o        b        db      s    ds        s95obs  s95exp  robscons  rexpcons  
atlas_1405_7875  SR01_a.2jl   12315.0  13000.0  1000.0  0.0  0.808752  1200.0  1700.0  0         0         
atlas_1405_7875  SR01_b.2jm   715.0    760.0    50.0    0.0  0.808752  90.0    110.0   0         0         
atlas_1405_7875  SR01_c.2jt   133.0    125.0    10.0    0.0  0.808752  38.0    32.0    0         0         
atlas_1405_7875  SR01_d.2jW   0.0      2.3      1.4     0.0  0.808752  4.8     4.0     0         0         
atlas_1405_7875  SR02_3j      7.0      5.0      1.2     0.0  0.808752  8.2     6.4     0         0         
atlas_1405_7875  SR03_a.4jl-  2169.0   2120.0   110.0   0.0  0.808752  270.0   240.0   0         0         
atlas_1405_7875  SR03_b.4jl   608.0    630.0    50.0    0.0  0.808752  91.0    103.0   0         0         
atlas_1405_7875  SR03_c.4jm   24.0     37.0     6.0     0.0  0.808752  10.0    16.0    0         0         
atlas_1405_7875  SR03_d.4jt   0.0      2.5      1.0     0.0  0.808752  3.1     4.0     0         0         
atlas_1405_7875  SR03_e.4jW   16.0     14.0     4.0     0.0  0.808752  14.0    11.0    0         0         
atlas_1405_7875  SR04_5j      121.0    126.0    13.0    0.0  0.808752  35.0    37.0    0         0         
atlas_1405_7875  SR05_a.6jl   121.0    111.0    11.0    0.0  0.808752  39.0    31.0    0         0         
atlas_1405_7875  SR05_b.6jm   39.0     33.0     6.0     0.0  0.808752  25.0    20.0    0         0         
atlas_1405_7875  SR05_c.6jt   5.0      5.2      1.4     0.0  0.808752  6.6     6.2     0         0         
atlas_1405_7875  SR05_d.6jt+  6.0      4.9      1.6     0.0  0.808752  7.9     6.6     0         0         
